TAHUN;UMR;INFLASI;JUMLAH PENDUDUK;ANGKATAN KERJA;BEKERJA;PENGANGGURAN;PERTUMBUHAN EKONOMI
1997;135000;0.11;204000000;89230978;85047007;4183971;0.07
1998;150900;0.78;207000000;92337801;87292541;5045260;0
1999;175400;0.02;211000000;94847178;88816859;6030319;0.01
2000;216500;0.09;214000000;95650961;89837730;5813231;0.04
2001;290500;0.13;217000000;98812448;90807417;8005031;0.05
2002;362700;0.1;220000000;100779270;91647166;9132104;0.05
2003;414700;0.05;223000000;102750092;92810791;9939301;0.05
2004;458500;0.06;225000000;103973387;93722036;10251351;0.06
2005;507697;0.17;228000000;105857653;93958387;11899266;0.06
2006;602702;0.07;231000000;106388935;95456935;10932000;0.06
2007;672480;0.07;234000000;109941359;99930217;10011142;0.07
2008;745709;0.11;237000000;111947265;102552750;9394515;0.07
2009;841530;0.03;241000000;113833280;104870663;8962617;0.05
2010;908824;0.07;244000000;116527546;108207767;8319779;0.06
2011;988829;0.04;247000000;116097701;107416309;8681392;0.07
2012;1088903;0.04;250000000;119849734;112504868;7344866;0.06
2013;1550000;0.08;253000000;120172003;112761072;7410931;0.06
2014;1584391;0.08;256000000;121872931;114628026;7244905;0.05
2015;1790342;0.03;259000000;122380021;114819199;7560822;0.05
2016;1997819;0.03;261000000;125443748;118411973;7031775;0.05
2017;2020500;0.04;264000000;128062746;121022423;7040323;0.05
2018;2268874;0.03;267000000;133940000;127070000;6870000;0.05
2019;2455662;0.03;269000000;136018000;129936000;6082000;0.05
2020;2672371;0.01;271000000;138022000;128945000;9077000;0
2021;2608093;0.02;273000000;140015000;131005000;9010000;0.03
2022;2644709;0.05;275000000;147032000;138030000;8007000;0.05
